Name,Party,Early Voting,Election Day,Mail-In Ballot,Provisional,Total,Percentage
Joe Biden,Democratic,"2,237","8,430","10,451",933,22051,86.15%
Uncommitted,Democratic,234,"1,266",929,110,2539,9.92%
Marianne Williamson,Democratic,34,354,232,36,656,2.56%
Dean Phillips,Democratic,28,177,127,17,349,1.36%
Totals,Democratic,"2,533","10,227","11,739","1,096","25,595",100.00%
