Jurisdiction,April McClain Delaney (D),Neil C. Parrott (R),Other Write-Ins
Allegany,"9,754","20,652",77
Frederick,"80,964","68,150",317
Garrett,"3,461","11,908",17
Montgomery,"70,439","29,264",265
Washington,"27,564","43,270",139
Totals,"192,182 (52.47%)","173,244 (47.30%)",815 (0.22%)
