Anne K. Albright,Early Voting,Election Day,Mail-In Ballot,Provisional,Total,Percentage
Yes,"28,904","43,009","10,852",NR,82765,81.21%
No,"7,585","10,380","1,185",NR,19150,18.79%
Totals,"36,489","53,389","12,037",NR,"101,915",100.00%
