Matthew J. Fader,Early Voting,Election Day,Mail-In Ballot,Provisional,Total,Percentage
Yes,"29,456","42,436","10,084",NR,81976,80.96%
No,"7,347","9,998","1,933",NR,19278,19.04%
Totals,"36,803","52,434","12,017",NR,"101,254",100.00%
