Name,Party,Early Voting,Election Day,Mail-In Ballot,Provisional,Total,Percentage
April McClain Delaney,Democratic,"21,630","31,389","26,041","1,904",80964,54.18%
Neil C. Parrott,Republican,"23,942","34,213","8,748","1,247",68150,45.61%
Other Write-Ins,,57,169,85,6,317,0.21%
Totals,,"45,629","65,771","34,874","3,157","149,431",100.00%
